votes	first	second	third
2	MIKE GOULD	CAPTAIN JACK SPARROW	KURTIS W. HANNA
2	MIKE GOULD	BETSY HODGES	undervote
2	MIKE GOULD	BETSY HODGES	JACKIE CHERRYHOMES
2	MIKE GOULD	ALICIA K. BENNETT	MARK ANDREW
2	MIKE GOULD	"ABDUL M RAHAMAN ""THE ROCK"""	STEPHANIE WOODRUFF
2	MERRILL ANDERSON	STEPHANIE WOODRUFF	BETSY HODGES
2	MERRILL ANDERSON	MERRILL ANDERSON	MERRILL ANDERSON
2	MERRILL ANDERSON	MARK ANDREW	CAPTAIN JACK SPARROW
2	MERRILL ANDERSON	JOSHUA REA	TONY LANE
2	MERRILL ANDERSON	JOSHUA REA	JOSHUA REA
2	MERRILL ANDERSON	JOSHUA REA	DAN COHEN
2	MERRILL ANDERSON	CAM WINTON	DAN COHEN
2	MARK V ANDERSON	UWI	UWI
2	MARK V ANDERSON	STEPHANIE WOODRUFF	DON SAMUELS
2	MARK V ANDERSON	STEPHANIE WOODRUFF	DAN COHEN
2	MARK V ANDERSON	OLE SAVIOR	undervote
2	MARK V ANDERSON	OLE SAVIOR	MIKE GOULD
2	MARK V ANDERSON	OLE SAVIOR	CHRISTOPHER ROBIN ZIMMERMAN
2	MARK V ANDERSON	OLE SAVIOR	CAM WINTON
2	MARK V ANDERSON	NEAL BAXTER	undervote
2	MARK V ANDERSON	MARK V ANDERSON	undervote
2	MARK V ANDERSON	MARK ANDREW	MIKE GOULD
2	MARK V ANDERSON	MARK ANDREW	CHRISTOPHER ROBIN ZIMMERMAN
2	MARK V ANDERSON	KURTIS W. HANNA	undervote
2	MARK V ANDERSON	JOHN LESLIE HARTWIG	RAHN V. WORKCUFF
2	MARK V ANDERSON	JOHN LESLIE HARTWIG	OLE SAVIOR
2	MARK V ANDERSON	JOHN LESLIE HARTWIG	BOB FINE
2	MARK V ANDERSON	JAMES EVERETT	JACKIE CHERRYHOMES
2	MARK V ANDERSON	JACKIE CHERRYHOMES	JAYMIE KELLY
2	MARK V ANDERSON	JACKIE CHERRYHOMES	JAMES EVERETT
2	MARK V ANDERSON	JACKIE CHERRYHOMES	ALICIA K. BENNETT
2	MARK V ANDERSON	GREGG A. IVERSON	JACKIE CHERRYHOMES
2	MARK V ANDERSON	DON SAMUELS	MARK ANDREW
2	MARK V ANDERSON	DON SAMUELS	ALICIA K. BENNETT
2	MARK V ANDERSON	DAN COHEN	JOHN LESLIE HARTWIG
2	MARK V ANDERSON	CHRISTOPHER CLARK	DAN COHEN
2	MARK V ANDERSON	CHRISTOPHER CLARK	BOB FINE
2	MARK V ANDERSON	CAM WINTON	OLE SAVIOR
2	MARK V ANDERSON	CAM WINTON	MARK ANDREW
2	MARK V ANDERSON	BOB FINE	GREGG A. IVERSON
2	MARK V ANDERSON	BETSY HODGES	STEPHANIE WOODRUFF
2	MARK V ANDERSON	BETSY HODGES	NEAL BAXTER
2	MARK V ANDERSON	BETSY HODGES	JAMES EVERETT
2	MARK V ANDERSON	BETSY HODGES	DOUG MANN
2	MARK V ANDERSON	ALICIA K. BENNETT	MARK ANDREW
2	MARK V ANDERSON	"ABDUL M RAHAMAN ""THE ROCK"""	STEPHANIE WOODRUFF
2	MARK V ANDERSON	"ABDUL M RAHAMAN ""THE ROCK"""	BETSY HODGES
2	MARK ANDREW	undervote	MARK V ANDERSON
2	MARK ANDREW	undervote	CAPTAIN JACK SPARROW
2	MARK ANDREW	UWI	BOB FINE
2	MARK ANDREW	TROY BENJEGERDES	KURTIS W. HANNA
2	MARK ANDREW	TROY BENJEGERDES	JACKIE CHERRYHOMES
2	MARK ANDREW	TROY BENJEGERDES	DOUG MANN
2	MARK ANDREW	TONY LANE	MARK V ANDERSON
2	MARK ANDREW	TONY LANE	JOHN CHARLES WILSON
2	MARK ANDREW	TONY LANE	JAYMIE KELLY
2	MARK ANDREW	TONY LANE	DON SAMUELS
2	MARK ANDREW	STEPHANIE WOODRUFF	MERRILL ANDERSON
2	MARK ANDREW	STEPHANIE WOODRUFF	MARK ANDREW
2	MARK ANDREW	STEPHANIE WOODRUFF	KURTIS W. HANNA
2	MARK ANDREW	STEPHANIE WOODRUFF	JAYMIE KELLY
2	MARK ANDREW	STEPHANIE WOODRUFF	BILL KAHN
2	MARK ANDREW	OLE SAVIOR	undervote
2	MARK ANDREW	OLE SAVIOR	MARK V ANDERSON
2	MARK ANDREW	OLE SAVIOR	JOHN LESLIE HARTWIG
2	MARK ANDREW	OLE SAVIOR	DAN COHEN
2	MARK ANDREW	NEAL BAXTER	TROY BENJEGERDES
2	MARK ANDREW	NEAL BAXTER	GREGG A. IVERSON
2	MARK ANDREW	NEAL BAXTER	CAM WINTON
2	MARK ANDREW	MIKE GOULD	DAN COHEN
2	MARK ANDREW	MIKE GOULD	BILL KAHN
2	MARK ANDREW	MERRILL ANDERSON	OLE SAVIOR
2	MARK ANDREW	MERRILL ANDERSON	DON SAMUELS
2	MARK ANDREW	MERRILL ANDERSON	CYD GORMAN
2	MARK ANDREW	MARK V ANDERSON	MARK ANDREW
2	MARK ANDREW	MARK V ANDERSON	JOHN CHARLES WILSON
2	MARK ANDREW	MARK V ANDERSON	GREGG A. IVERSON
2	MARK ANDREW	MARK V ANDERSON	ALICIA K. BENNETT
2	MARK ANDREW	MARK ANDREW	JEFFREY ALAN WAGNER
2	MARK ANDREW	MARK ANDREW	JACKIE CHERRYHOMES
2	MARK ANDREW	MARK ANDREW	BOB FINE
2	MARK ANDREW	MARK ANDREW	ALICIA K. BENNETT
2	MARK ANDREW	KURTIS W. HANNA	JAMES EVERETT
2	MARK ANDREW	KURTIS W. HANNA	"ABDUL M RAHAMAN ""THE ROCK"""
2	MARK ANDREW	JOSHUA REA	STEPHANIE WOODRUFF
2	MARK ANDREW	JOSHUA REA	MIKE GOULD
2	MARK ANDREW	JOSHUA REA	MERRILL ANDERSON
2	MARK ANDREW	JOSHUA REA	JAMES EVERETT
2	MARK ANDREW	JOSHUA REA	BOB FINE
2	MARK ANDREW	JOHN LESLIE HARTWIG	BETSY HODGES
2	MARK ANDREW	JOHN CHARLES WILSON	TONY LANE
2	MARK ANDREW	JOHN CHARLES WILSON	"ABDUL M RAHAMAN ""THE ROCK"""
2	MARK ANDREW	JEFFREY ALAN WAGNER	JAYMIE KELLY
2	MARK ANDREW	JEFFREY ALAN WAGNER	DAN COHEN
2	MARK ANDREW	JEFFREY ALAN WAGNER	CHRISTOPHER CLARK
2	MARK ANDREW	JAYMIE KELLY	JAMES EVERETT
2	MARK ANDREW	JAYMIE KELLY	JACKIE CHERRYHOMES
2	MARK ANDREW	JAYMIE KELLY	CAPTAIN JACK SPARROW
2	MARK ANDREW	JAYMIE KELLY	BETSY HODGES
2	MARK ANDREW	JAMES EVERETT	TONY LANE
2	MARK ANDREW	JAMES EVERETT	KURTIS W. HANNA
2	MARK ANDREW	JAMES EVERETT	DAN COHEN
2	MARK ANDREW	JAMES EVERETT	CAPTAIN JACK SPARROW
2	MARK ANDREW	JAMES EVERETT	"ABDUL M RAHAMAN ""THE ROCK"""
2	MARK ANDREW	JACKIE CHERRYHOMES	KURTIS W. HANNA
2	MARK ANDREW	JACKIE CHERRYHOMES	JOHN LESLIE HARTWIG
2	MARK ANDREW	GREGG A. IVERSON	MERRILL ANDERSON
2	MARK ANDREW	GREGG A. IVERSON	JOSHUA REA
2	MARK ANDREW	GREGG A. IVERSON	DON SAMUELS
2	MARK ANDREW	GREGG A. IVERSON	DAN COHEN
2	MARK ANDREW	DOUG MANN	TROY BENJEGERDES
2	MARK ANDREW	DOUG MANN	MIKE GOULD
2	MARK ANDREW	DOUG MANN	KURTIS W. HANNA
2	MARK ANDREW	DOUG MANN	JEFFREY ALAN WAGNER
2	MARK ANDREW	DOUG MANN	GREGG A. IVERSON
2	MARK ANDREW	DON SAMUELS	KURTIS W. HANNA
2	MARK ANDREW	DON SAMUELS	JOHN CHARLES WILSON
2	MARK ANDREW	DON SAMUELS	CHRISTOPHER ROBIN ZIMMERMAN
2	MARK ANDREW	DON SAMUELS	BILL KAHN
2	MARK ANDREW	DAN COHEN	RAHN V. WORKCUFF
2	MARK ANDREW	DAN COHEN	MERRILL ANDERSON
2	MARK ANDREW	DAN COHEN	KURTIS W. HANNA
2	MARK ANDREW	DAN COHEN	JOHN LESLIE HARTWIG
2	MARK ANDREW	DAN COHEN	JAMES EVERETT
2	MARK ANDREW	DAN COHEN	DAN COHEN
2	MARK ANDREW	DAN COHEN	CYD GORMAN
2	MARK ANDREW	DAN COHEN	ALICIA K. BENNETT
2	MARK ANDREW	CYD GORMAN	STEPHANIE WOODRUFF
2	MARK ANDREW	CHRISTOPHER ROBIN ZIMMERMAN	undervote
2	MARK ANDREW	CHRISTOPHER ROBIN ZIMMERMAN	JOHN CHARLES WILSON
2	MARK ANDREW	CHRISTOPHER ROBIN ZIMMERMAN	DAN COHEN
2	MARK ANDREW	CHRISTOPHER ROBIN ZIMMERMAN	BOB FINE
2	MARK ANDREW	CHRISTOPHER CLARK	TONY LANE
2	MARK ANDREW	CHRISTOPHER CLARK	JACKIE CHERRYHOMES
2	MARK ANDREW	CHRISTOPHER CLARK	BOB FINE
2	MARK ANDREW	CAPTAIN JACK SPARROW	TONY LANE
2	MARK ANDREW	CAPTAIN JACK SPARROW	MIKE GOULD
2	MARK ANDREW	CAPTAIN JACK SPARROW	JOSHUA REA
2	MARK ANDREW	CAPTAIN JACK SPARROW	JAMES EVERETT
2	MARK ANDREW	CAM WINTON	TROY BENJEGERDES
2	MARK ANDREW	CAM WINTON	RAHN V. WORKCUFF
2	MARK ANDREW	CAM WINTON	JEFFREY ALAN WAGNER
2	MARK ANDREW	CAM WINTON	GREGG A. IVERSON
2	MARK ANDREW	CAM WINTON	CHRISTOPHER CLARK
2	MARK ANDREW	CAM WINTON	BILL KAHN
2	MARK ANDREW	CAM WINTON	"BOB ""AGAIN"" CARNEY JR"
2	MARK ANDREW	BOB FINE	UWI
2	MARK ANDREW	BOB FINE	OLE SAVIOR
2	MARK ANDREW	BOB FINE	NEAL BAXTER
2	MARK ANDREW	BOB FINE	"BOB ""AGAIN"" CARNEY JR"
2	MARK ANDREW	BOB FINE	"ABDUL M RAHAMAN ""THE ROCK"""
2	MARK ANDREW	BILL KAHN	DAN COHEN
2	MARK ANDREW	BILL KAHN	CAPTAIN JACK SPARROW
2	MARK ANDREW	BETSY HODGES	overvote
2	MARK ANDREW	BETSY HODGES	MERRILL ANDERSON
2	MARK ANDREW	BETSY HODGES	JOHN CHARLES WILSON
2	MARK ANDREW	ALICIA K. BENNETT	TROY BENJEGERDES
2	MARK ANDREW	ALICIA K. BENNETT	MERRILL ANDERSON
2	MARK ANDREW	ALICIA K. BENNETT	DAN COHEN
2	MARK ANDREW	ALICIA K. BENNETT	BILL KAHN
2	MARK ANDREW	"BOB ""AGAIN"" CARNEY JR"	DAN COHEN
2	MARK ANDREW	"BOB ""AGAIN"" CARNEY JR"	BETSY HODGES
2	MARK ANDREW	"ABDUL M RAHAMAN ""THE ROCK"""	STEPHANIE WOODRUFF
2	MARK ANDREW	"ABDUL M RAHAMAN ""THE ROCK"""	KURTIS W. HANNA
2	MARK ANDREW	"ABDUL M RAHAMAN ""THE ROCK"""	JOHN CHARLES WILSON
2	MARK ANDREW	"ABDUL M RAHAMAN ""THE ROCK"""	DON SAMUELS
2	MARK ANDREW	"ABDUL M RAHAMAN ""THE ROCK"""	ALICIA K. BENNETT
2	KURTIS W. HANNA	STEPHANIE WOODRUFF	JAMES EVERETT
2	KURTIS W. HANNA	JAMES EVERETT	TONY LANE
2	KURTIS W. HANNA	JAMES EVERETT	DOUG MANN
2	KURTIS W. HANNA	DON SAMUELS	BETSY HODGES
2	KURTIS W. HANNA	DAN COHEN	DON SAMUELS
2	KURTIS W. HANNA	DAN COHEN	CHRISTOPHER CLARK
2	KURTIS W. HANNA	CAPTAIN JACK SPARROW	undervote
2	KURTIS W. HANNA	CAM WINTON	DON SAMUELS
2	KURTIS W. HANNA	BOB FINE	BETSY HODGES
2	KURTIS W. HANNA	BETSY HODGES	DOUG MANN
2	KURTIS W. HANNA	BETSY HODGES	DAN COHEN
2	KURTIS W. HANNA	BETSY HODGES	CAPTAIN JACK SPARROW
2	JOSHUA REA	MERRILL ANDERSON	undervote
2	JOSHUA REA	MERRILL ANDERSON	JACKIE CHERRYHOMES
2	JOSHUA REA	MERRILL ANDERSON	CAPTAIN JACK SPARROW
2	JOSHUA REA	MERRILL ANDERSON	"ABDUL M RAHAMAN ""THE ROCK"""
2	JOSHUA REA	MARK ANDREW	BETSY HODGES
2	JOSHUA REA	JACKIE CHERRYHOMES	"ABDUL M RAHAMAN ""THE ROCK"""
2	JOSHUA REA	DOUG MANN	undervote
2	JOSHUA REA	DAN COHEN	CAPTAIN JACK SPARROW
2	JOSHUA REA	BETSY HODGES	DON SAMUELS
2	JOSHUA REA	"ABDUL M RAHAMAN ""THE ROCK"""	MARK ANDREW
2	JOHN LESLIE HARTWIG	NEAL BAXTER	CAM WINTON
2	JOHN LESLIE HARTWIG	DAN COHEN	JACKIE CHERRYHOMES
2	JOHN LESLIE HARTWIG	BETSY HODGES	CAM WINTON
2	JOHN CHARLES WILSON	DOUG MANN	undervote
2	JOHN CHARLES WILSON	CAM WINTON	OLE SAVIOR
2	JEFFREY ALAN WAGNER	UWI	UWI
2	JEFFREY ALAN WAGNER	STEPHANIE WOODRUFF	BETSY HODGES
2	JEFFREY ALAN WAGNER	MIKE GOULD	BOB FINE
2	JEFFREY ALAN WAGNER	MIKE GOULD	ALICIA K. BENNETT
2	JEFFREY ALAN WAGNER	MARK ANDREW	STEPHANIE WOODRUFF
2	JEFFREY ALAN WAGNER	MARK ANDREW	DON SAMUELS
2	JEFFREY ALAN WAGNER	JACKIE CHERRYHOMES	undervote
2	JEFFREY ALAN WAGNER	JACKIE CHERRYHOMES	ALICIA K. BENNETT
2	JEFFREY ALAN WAGNER	DAN COHEN	MARK ANDREW
2	JEFFREY ALAN WAGNER	BETSY HODGES	ALICIA K. BENNETT
2	JEFFREY ALAN WAGNER	ALICIA K. BENNETT	STEPHANIE WOODRUFF
2	JAYMIE KELLY	TONY LANE	DOUG MANN
2	JAYMIE KELLY	STEPHANIE WOODRUFF	BETSY HODGES
2	JAYMIE KELLY	JOSHUA REA	undervote
2	JAYMIE KELLY	DOUG MANN	undervote
2	JAYMIE KELLY	DON SAMUELS	BETSY HODGES
2	JAYMIE KELLY	DAN COHEN	BETSY HODGES
2	JAYMIE KELLY	BETSY HODGES	STEPHANIE WOODRUFF
2	JAYMIE KELLY	ALICIA K. BENNETT	STEPHANIE WOODRUFF
2	JAYMIE KELLY	ALICIA K. BENNETT	BETSY HODGES
2	JAMES EVERETT	TROY BENJEGERDES	DOUG MANN
2	JAMES EVERETT	TONY LANE	DOUG MANN
2	JAMES EVERETT	TONY LANE	DON SAMUELS
2	JAMES EVERETT	STEPHANIE WOODRUFF	DOUG MANN
2	JAMES EVERETT	STEPHANIE WOODRUFF	BETSY HODGES
2	JAMES EVERETT	MARK ANDREW	JACKIE CHERRYHOMES
2	JAMES EVERETT	MARK ANDREW	DOUG MANN
2	JAMES EVERETT	KURTIS W. HANNA	BETSY HODGES
2	JAMES EVERETT	JAYMIE KELLY	BETSY HODGES
2	JAMES EVERETT	JACKIE CHERRYHOMES	undervote
2	JAMES EVERETT	JACKIE CHERRYHOMES	DOUG MANN
2	JAMES EVERETT	JACKIE CHERRYHOMES	DAN COHEN
2	JAMES EVERETT	EDMUND BERNARD BRUYERE	JACKIE CHERRYHOMES
2	JAMES EVERETT	DOUG MANN	undervote
2	JAMES EVERETT	DOUG MANN	TROY BENJEGERDES
2	JAMES EVERETT	DOUG MANN	STEPHANIE WOODRUFF
2	JAMES EVERETT	DOUG MANN	NEAL BAXTER
2	JAMES EVERETT	DOUG MANN	CAM WINTON
2	JAMES EVERETT	DON SAMUELS	JACKIE CHERRYHOMES
2	JAMES EVERETT	CYD GORMAN	JOSHUA REA
2	JAMES EVERETT	BOB FINE	DAN COHEN
2	JAMES EVERETT	BOB FINE	BETSY HODGES
2	JAMES EVERETT	BETSY HODGES	MARK V ANDERSON
2	JAMES EVERETT	BETSY HODGES	KURTIS W. HANNA
2	JAMES EVERETT	BETSY HODGES	CAPTAIN JACK SPARROW
2	JAMES EVERETT	BETSY HODGES	BOB FINE
2	JACKIE CHERRYHOMES	UWI	DON SAMUELS
2	JACKIE CHERRYHOMES	TROY BENJEGERDES	CYD GORMAN
2	JACKIE CHERRYHOMES	STEPHANIE WOODRUFF	MIKE GOULD
2	JACKIE CHERRYHOMES	RAHN V. WORKCUFF	MARK ANDREW
2	JACKIE CHERRYHOMES	OLE SAVIOR	MARK V ANDERSON
2	JACKIE CHERRYHOMES	OLE SAVIOR	MARK ANDREW
2	JACKIE CHERRYHOMES	OLE SAVIOR	CAPTAIN JACK SPARROW
2	JACKIE CHERRYHOMES	MIKE GOULD	undervote
2	JACKIE CHERRYHOMES	MIKE GOULD	BOB FINE
2	JACKIE CHERRYHOMES	MERRILL ANDERSON	CYD GORMAN
2	JACKIE CHERRYHOMES	MARK V ANDERSON	GREGG A. IVERSON
2	JACKIE CHERRYHOMES	MARK V ANDERSON	BOB FINE
2	JACKIE CHERRYHOMES	MARK V ANDERSON	ALICIA K. BENNETT
2	JACKIE CHERRYHOMES	MARK ANDREW	TONY LANE
2	JACKIE CHERRYHOMES	MARK ANDREW	NEAL BAXTER
2	JACKIE CHERRYHOMES	MARK ANDREW	JOSHUA REA
2	JACKIE CHERRYHOMES	MARK ANDREW	DOUG MANN
2	JACKIE CHERRYHOMES	MARK ANDREW	CHRISTOPHER CLARK
2	JACKIE CHERRYHOMES	JOSHUA REA	MARK ANDREW
2	JACKIE CHERRYHOMES	JOSHUA REA	DAN COHEN
2	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER	UWI
2	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER	STEPHANIE WOODRUFF
2	JACKIE CHERRYHOMES	JAMES EVERETT	MARK ANDREW
2	JACKIE CHERRYHOMES	JAMES EVERETT	DOUG MANN
2	JACKIE CHERRYHOMES	JACKIE CHERRYHOMES	CAPTAIN JACK SPARROW
2	JACKIE CHERRYHOMES	GREGG A. IVERSON	STEPHANIE WOODRUFF
2	JACKIE CHERRYHOMES	GREGG A. IVERSON	MARK ANDREW
2	JACKIE CHERRYHOMES	GREGG A. IVERSON	ALICIA K. BENNETT
2	JACKIE CHERRYHOMES	DOUG MANN	JOSHUA REA
2	JACKIE CHERRYHOMES	DON SAMUELS	UWI
2	JACKIE CHERRYHOMES	DON SAMUELS	RAHN V. WORKCUFF
2	JACKIE CHERRYHOMES	DON SAMUELS	MIKE GOULD
2	JACKIE CHERRYHOMES	DON SAMUELS	MERRILL ANDERSON
2	JACKIE CHERRYHOMES	DON SAMUELS	"BOB ""AGAIN"" CARNEY JR"
2	JACKIE CHERRYHOMES	DAN COHEN	STEPHANIE WOODRUFF
2	JACKIE CHERRYHOMES	DAN COHEN	MIKE GOULD
2	JACKIE CHERRYHOMES	DAN COHEN	JACKIE CHERRYHOMES
2	JACKIE CHERRYHOMES	DAN COHEN	ALICIA K. BENNETT
2	JACKIE CHERRYHOMES	CYD GORMAN	undervote
2	JACKIE CHERRYHOMES	CHRISTOPHER ROBIN ZIMMERMAN	CAPTAIN JACK SPARROW
2	JACKIE CHERRYHOMES	CAPTAIN JACK SPARROW	DON SAMUELS
2	JACKIE CHERRYHOMES	CAPTAIN JACK SPARROW	"BOB ""AGAIN"" CARNEY JR"
2	JACKIE CHERRYHOMES	CAPTAIN JACK SPARROW	"ABDUL M RAHAMAN ""THE ROCK"""
2	JACKIE CHERRYHOMES	CAM WINTON	MERRILL ANDERSON
2	JACKIE CHERRYHOMES	CAM WINTON	MARK V ANDERSON
2	JACKIE CHERRYHOMES	CAM WINTON	JAMES EVERETT
2	JACKIE CHERRYHOMES	BOB FINE	TONY LANE
2	JACKIE CHERRYHOMES	BOB FINE	JEFFREY ALAN WAGNER
2	JACKIE CHERRYHOMES	BOB FINE	CHRISTOPHER ROBIN ZIMMERMAN
2	JACKIE CHERRYHOMES	BOB FINE	BOB FINE
2	JACKIE CHERRYHOMES	BOB FINE	BILL KAHN
2	JACKIE CHERRYHOMES	BILL KAHN	MARK ANDREW
2	JACKIE CHERRYHOMES	BETSY HODGES	TONY LANE
2	JACKIE CHERRYHOMES	BETSY HODGES	MIKE GOULD
2	JACKIE CHERRYHOMES	BETSY HODGES	JAYMIE KELLY
2	JACKIE CHERRYHOMES	BETSY HODGES	"BOB ""AGAIN"" CARNEY JR"
2	JACKIE CHERRYHOMES	ALICIA K. BENNETT	JAMES EVERETT
2	JACKIE CHERRYHOMES	ALICIA K. BENNETT	CAPTAIN JACK SPARROW
2	JACKIE CHERRYHOMES	ALICIA K. BENNETT	CAM WINTON
2	JACKIE CHERRYHOMES	ALICIA K. BENNETT	BOB FINE
2	GREGG A. IVERSON	TROY BENJEGERDES	JAYMIE KELLY
2	GREGG A. IVERSON	MARK ANDREW	MIKE GOULD
2	GREGG A. IVERSON	MARK ANDREW	BOB FINE
2	GREGG A. IVERSON	MARK ANDREW	BETSY HODGES
2	GREGG A. IVERSON	JEFFREY ALAN WAGNER	MARK ANDREW
2	GREGG A. IVERSON	JEFFREY ALAN WAGNER	ALICIA K. BENNETT
2	GREGG A. IVERSON	GREGG A. IVERSON	undervote
2	GREGG A. IVERSON	DAN COHEN	OLE SAVIOR
2	GREGG A. IVERSON	BOB FINE	ALICIA K. BENNETT
2	GREGG A. IVERSON	BETSY HODGES	ALICIA K. BENNETT
2	GREGG A. IVERSON	"ABDUL M RAHAMAN ""THE ROCK"""	undervote
2	EDMUND BERNARD BRUYERE	TROY BENJEGERDES	MARK ANDREW
2	EDMUND BERNARD BRUYERE	MARK ANDREW	BETSY HODGES
2	EDMUND BERNARD BRUYERE	JACKIE CHERRYHOMES	BETSY HODGES
2	EDMUND BERNARD BRUYERE	DOUG MANN	BETSY HODGES
2	EDMUND BERNARD BRUYERE	DON SAMUELS	BETSY HODGES
2	EDMUND BERNARD BRUYERE	CAM WINTON	TROY BENJEGERDES
2	EDMUND BERNARD BRUYERE	CAM WINTON	OLE SAVIOR
2	DOUG MANN	TROY BENJEGERDES	ALICIA K. BENNETT
2	DOUG MANN	TONY LANE	undervote
2	DOUG MANN	TONY LANE	MIKE GOULD
2	DOUG MANN	TONY LANE	DON SAMUELS
2	DOUG MANN	RAHN V. WORKCUFF	JAMES EVERETT
2	DOUG MANN	NEAL BAXTER	MARK ANDREW
2	DOUG MANN	NEAL BAXTER	JOHN LESLIE HARTWIG
2	DOUG MANN	MARK ANDREW	TONY LANE
2	DOUG MANN	MARK ANDREW	MIKE GOULD
2	DOUG MANN	MARK ANDREW	DAN COHEN
2	DOUG MANN	MARK ANDREW	CAPTAIN JACK SPARROW
2	DOUG MANN	MARK ANDREW	CAM WINTON
2	DOUG MANN	KURTIS W. HANNA	JAYMIE KELLY
2	DOUG MANN	KURTIS W. HANNA	DAN COHEN
2	DOUG MANN	KURTIS W. HANNA	BOB FINE
2	DOUG MANN	JOHN LESLIE HARTWIG	NEAL BAXTER
2	DOUG MANN	JAYMIE KELLY	undervote
2	DOUG MANN	JAYMIE KELLY	TROY BENJEGERDES
2	DOUG MANN	JAYMIE KELLY	JOSHUA REA
2	DOUG MANN	JAYMIE KELLY	DON SAMUELS
2	DOUG MANN	JAYMIE KELLY	"ABDUL M RAHAMAN ""THE ROCK"""
2	DOUG MANN	JAMES EVERETT	TROY BENJEGERDES
2	DOUG MANN	JAMES EVERETT	MARK ANDREW
2	DOUG MANN	JAMES EVERETT	JAYMIE KELLY
2	DOUG MANN	JAMES EVERETT	DON SAMUELS
2	DOUG MANN	JAMES EVERETT	CHRISTOPHER CLARK
2	DOUG MANN	JAMES EVERETT	CAPTAIN JACK SPARROW
2	DOUG MANN	DON SAMUELS	TONY LANE
2	DOUG MANN	DON SAMUELS	BOB FINE
2	DOUG MANN	DAN COHEN	MARK ANDREW
2	DOUG MANN	CAM WINTON	JACKIE CHERRYHOMES
2	DOUG MANN	BOB FINE	JAMES EVERETT
2	DOUG MANN	BOB FINE	BETSY HODGES
2	DOUG MANN	BETSY HODGES	MARK V ANDERSON
2	DOUG MANN	BETSY HODGES	JOHN CHARLES WILSON
2	DOUG MANN	BETSY HODGES	"BOB ""AGAIN"" CARNEY JR"
2	DOUG MANN	ALICIA K. BENNETT	BETSY HODGES
2	DOUG MANN	"BOB ""AGAIN"" CARNEY JR"	BETSY HODGES
2	DON SAMUELS	undervote	MARK ANDREW
2	DON SAMUELS	UWI	BETSY HODGES
2	DON SAMUELS	STEPHANIE WOODRUFF	TROY BENJEGERDES
2	DON SAMUELS	STEPHANIE WOODRUFF	MERRILL ANDERSON
2	DON SAMUELS	STEPHANIE WOODRUFF	JEFFREY ALAN WAGNER
2	DON SAMUELS	STEPHANIE WOODRUFF	GREGG A. IVERSON
2	DON SAMUELS	STEPHANIE WOODRUFF	DOUG MANN
2	DON SAMUELS	RAHN V. WORKCUFF	undervote
2	DON SAMUELS	RAHN V. WORKCUFF	BETSY HODGES
2	DON SAMUELS	OLE SAVIOR	MARK V ANDERSON
2	DON SAMUELS	OLE SAVIOR	CYD GORMAN
2	DON SAMUELS	OLE SAVIOR	CHRISTOPHER CLARK
2	DON SAMUELS	OLE SAVIOR	BETSY HODGES
2	DON SAMUELS	OLE SAVIOR	"ABDUL M RAHAMAN ""THE ROCK"""
2	DON SAMUELS	NEAL BAXTER	BETSY HODGES
2	DON SAMUELS	NEAL BAXTER	ALICIA K. BENNETT
2	DON SAMUELS	MIKE GOULD	BETSY HODGES
2	DON SAMUELS	MERRILL ANDERSON	TROY BENJEGERDES
2	DON SAMUELS	MERRILL ANDERSON	JOSHUA REA
2	DON SAMUELS	MERRILL ANDERSON	JACKIE CHERRYHOMES
2	DON SAMUELS	MERRILL ANDERSON	CAPTAIN JACK SPARROW
2	DON SAMUELS	MARK V ANDERSON	RAHN V. WORKCUFF
2	DON SAMUELS	MARK V ANDERSON	JOSHUA REA
2	DON SAMUELS	MARK V ANDERSON	GREGG A. IVERSON
2	DON SAMUELS	MARK ANDREW	overvote
2	DON SAMUELS	MARK ANDREW	JOSHUA REA
2	DON SAMUELS	MARK ANDREW	JAYMIE KELLY
2	DON SAMUELS	MARK ANDREW	"ABDUL M RAHAMAN ""THE ROCK"""
2	DON SAMUELS	KURTIS W. HANNA	undervote
2	DON SAMUELS	KURTIS W. HANNA	BETSY HODGES
2	DON SAMUELS	JOSHUA REA	STEPHANIE WOODRUFF
2	DON SAMUELS	JOSHUA REA	MARK ANDREW
2	DON SAMUELS	JOHN LESLIE HARTWIG	undervote
2	DON SAMUELS	JOHN LESLIE HARTWIG	BETSY HODGES
2	DON SAMUELS	JEFFREY ALAN WAGNER	STEPHANIE WOODRUFF
2	DON SAMUELS	JAYMIE KELLY	undervote
2	DON SAMUELS	JAYMIE KELLY	TROY BENJEGERDES
2	DON SAMUELS	JAYMIE KELLY	BETSY HODGES
2	DON SAMUELS	JAYMIE KELLY	ALICIA K. BENNETT
2	DON SAMUELS	JAYMIE KELLY	"ABDUL M RAHAMAN ""THE ROCK"""
2	DON SAMUELS	JAMES EVERETT	KURTIS W. HANNA
2	DON SAMUELS	JAMES EVERETT	CAM WINTON
2	DON SAMUELS	JACKIE CHERRYHOMES	TONY LANE
2	DON SAMUELS	JACKIE CHERRYHOMES	JOSHUA REA
2	DON SAMUELS	JACKIE CHERRYHOMES	JOHN CHARLES WILSON
2	DON SAMUELS	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER
2	DON SAMUELS	JACKIE CHERRYHOMES	JAYMIE KELLY
